hill,length,gain,avg_grade,max_grade
Vashon Ferry hill 1,0.7,354,9.2,18.1
Burma Rd 1,0.1,134,17.1,24.1
Point Vashon Dr,0.3,191,10.5,13.9
SW 112th/103rd,0.9,280,6.1,13
103rd,0.2,152,11.5,18
Sylvan Beach DR,0.6,360,10.5,13.9
Burma Rd 2,0.1,120,17.9,27.9
Van Olinda Rd,1.1,255,4.5,7.4
SW Cove Rd,1.3,377,5.5,10.4
SW 220th,0.9,368,7.8,14.1
SW Reddings Bch Rd,0.4,178,8.4,11.8
Bates Walk SW,0.8,369,9.3,12.4
SW 248th,0.5,194,7.2,9.2
SW Pohl Rd,0.8,271,6.8,9.6
Vashon Hwy fr south,1,298,5.5,7.6
Manzanita,1.4,357,4.9,12.7
Sandy Shores,0.5,288,11.5,14.7
264th/94th,0.3,169,9.7,14.5
99th Ave,1.5,298,3.8,7.4
Gold Beach,0.4,236,11.9,17.1
240th,0.9,324,6.6,9.7
Luana Beach Rd,0.7,201,5.6,10.3
Pt Robinson Rd,2,471,4.5,9.4
87th Ave,0.9,296,6.4,13.3
Ellisport Rd,0.9,300,6.4,9.9
Soper Rd,0.6,301,10,13.7